"Time (s)","X (hPa)"
2.314832510E2,1.004652710E3
2.325472730E2,1.004638519E3
2.336113400E2,1.004624863E3
2.346753850E2,1.004610596E3
2.357394190E2,1.004596863E3
2.368034380E2,1.004583435E3
2.378675130E2,1.004570160E3
2.389315630E2,1.004557495E3
2.399955970E2,1.004547043E3
2.410596360E2,1.004537048E3
2.421236520E2,1.004526978E3
2.431876390E2,1.004518585E3
2.442516110E2,1.004510422E3
2.453156150E2,1.004502945E3
2.463795710E2,1.004494629E3
2.474435410E2,1.004488525E3
2.485075750E2,1.004482346E3
2.495715620E2,1.004476242E3
2.506355550E2,1.004469986E3
2.516995410E2,1.004464722E3
2.527635270E2,1.004460449E3
2.538275390E2,1.004456635E3
2.548915300E2,1.004453278E3
2.559554790E2,1.004450989E3
2.570194230E2,1.004449310E3
2.580833930E2,1.004447861E3
2.591473600E2,1.004446106E3
2.602113250E2,1.004445572E3
2.612752980E2,1.004445572E3
2.623393100E2,1.004446182E3
2.634033080E2,1.004447479E3
2.644672910E2,1.004449539E3
2.655312500E2,1.004452057E3
2.665952460E2,1.004455032E3
2.676592290E2,1.004458847E3
2.687232020E2,1.004463196E3
2.697871540E2,1.004468079E3
2.708511090E2,1.004473495E3
2.719150570E2,1.004479828E3
2.729789750E2,1.004486389E3
2.740429440E2,1.004493866E3
2.751068870E2,1.004501801E3
2.761708120E2,1.004510345E3
2.772347510E2,1.004518967E3
2.782986960E2,1.004528427E3
2.793626500E2,1.004538422E3
2.804266210E2,1.004549255E3
2.814906400E2,1.004560471E3
2.825546250E2,1.004572525E3
2.836186490E2,1.004584503E3
2.846826070E2,1.004597549E3
2.857465270E2,1.004610825E3
2.868104470E2,1.004625092E3
2.878743850E2,1.004640198E3
2.889383040E2,1.004655457E3
2.900022830E2,1.004670944E3
2.910662570E2,1.004687195E3
2.921301730E2,1.004703979E3
2.931941490E2,1.004720688E3
2.942581100E2,1.004738388E3
2.953220470E2,1.004756699E3
2.963859980E2,1.004775772E3
2.974499320E2,1.004794998E3
2.985138510E2,1.004814835E3
2.995777900E2,1.004835358E3
3.006417580E2,1.004856491E3
3.017057460E2,1.004877777E3
3.027696980E2,1.004900284E3
3.038336760E2,1.004923019E3
3.048976630E2,1.004945984E3
3.059616480E2,1.004969711E3
3.070256690E2,1.004993286E3
3.080896810E2,1.005016861E3
3.091536710E2,1.005041046E3
3.102176650E2,1.005065765E3
3.112816600E2,1.005090790E3
3.123456350E2,1.005116806E3
3.134096560E2,1.005143127E3
3.144736210E2,1.005169754E3
3.155376030E2,1.005196381E3
3.166016340E2,1.005223160E3
3.176656070E2,1.005250931E3
3.187296580E2,1.005278702E3
3.197936930E2,1.005306778E3
3.208577320E2,1.005335541E3
3.219217600E2,1.005364838E3
3.229858160E2,1.005393906E3
3.240498940E2,1.005423126E3
3.251139610E2,1.005453033E3
3.261780010E2,1.005483322E3
3.272419620E2,1.005513916E3
3.283059210E2,1.005544891E3
3.293698960E2,1.005576172E3
3.304339120E2,1.005606995E3
3.314978910E2,1.005637665E3
3.325618770E2,1.005669479E3
3.336258360E2,1.005700836E3
3.346897950E2,1.005732880E3
3.357537060E2,1.005765076E3
3.368176710E2,1.005797882E3
3.378816460E2,1.005830460E3
3.389455840E2,1.005863419E3
3.400096030E2,1.005897293E3
3.410736610E2,1.005931091E3
3.421376910E2,1.005964813E3
3.432016940E2,1.005997925E3
3.442657140E2,1.006031113E3
3.453296900E2,1.006063995E3
3.463936470E2,1.006096878E3
3.474575740E2,1.006130524E3
3.485215180E2,1.006164017E3
3.495854680E2,1.006197815E3
3.506494070E2,1.006231613E3
3.517133320E2,1.006265488E3
3.527772800E2,1.006298981E3
3.538412070E2,1.006332016E3
3.549051380E2,1.006365662E3
3.559690860E2,1.006399155E3
3.570330010E2,1.006433182E3
3.580969540E2,1.006467743E3
3.591608950E2,1.006503372E3
3.602248940E2,1.006538925E3
3.612888660E2,1.006574326E3
3.623527920E2,1.006609192E3
3.634167710E2,1.006643143E3
3.644807590E2,1.006676636E3
3.655447580E2,1.006709595E3
3.666087880E2,1.006742630E3
3.676727990E2,1.006775513E3
3.687368060E2,1.006808167E3
3.698008040E2,1.006841049E3
3.708648270E2,1.006873245E3
3.719288540E2,1.006904984E3
3.729928310E2,1.006937256E3
3.740567940E2,1.006968842E3
3.751207700E2,1.007000732E3
3.761847330E2,1.007032394E3
3.772487230E2,1.007063980E3
3.783127680E2,1.007094650E3
3.793768120E2,1.007125244E3
3.804408530E2,1.007155457E3
3.815048830E2,1.007185211E3
3.825689530E2,1.007215042E3
3.836330260E2,1.007244568E3
3.846970920E2,1.007273254E3
3.857612030E2,1.007302475E3
3.868252670E2,1.007331314E3
3.878893310E2,1.007359543E3
3.889533470E2,1.007387543E3
3.900173720E2,1.007415314E3
3.910813720E2,1.007442856E3
3.921453660E2,1.007469788E3
3.932093170E2,1.007496490E3
3.942733180E2,1.007523041E3
3.953373000E2,1.007548599E3
3.964012490E2,1.007573853E3
3.974652180E2,1.007599030E3
